Sr No,Date,Startup,Vertical,SubVertical,City,Investors,Investment Round,Amount in INR(cr)
1674,2016-05-04,seclore,Technology,Data Analytics Platform,mumbai,"sistema asia fund, helion venture, ventureeast, india alternatives",private equity,103.92
1675,2016-05-04,solartown,Technology,Data Analytics Platform,chennai,grex.in,seed funding,1.73
1676,2016-05-04,comarete,Technology,Data Analytics Platform,pune,grex.in,seed funding,1.73
1677,2016-05-04,mydentistchoice,E-commerce,Online Pharmacy,hyderabad,undisclosed investors,seed funding,1.3
1678,2016-05-04,active.ai,Technology,Data Analytics Platform,out of india,kalaari capital accelerator program,seed funding,4.33
1679,2016-05-04,affordplan,Technology,Data Analytics Platform,delhi,kalaari capital accelerator program,seed funding,4.33
1680,2016-05-04,indee,Consumer Internet,Online Lending Platform,bangalore,kalaari capital accelerator program,seed funding,4.33
1681,2016-05-05,unbxd,Technology,Data Analytics Platform,delhi,"idg ventures, inventus capital, indian angel network",private equity,
1682,2016-05-05,weballigator,Consumer Internet,Online Lending Platform,bangalore,group of undisclosed angel investors & hnis,seed funding,3.25
1683,2016-05-06,eduace services,Education,Aptitude Development Program,lucknow,momagic technologies,private equity,8.66
1684,2016-05-06,meesho,E-commerce,Online Pharmacy,bangalore,rajul garg & others,seed funding,
1685,2016-05-07,zebroads,Logistics,B2B Logistics Provider,hyderabad,undisclosed investors,seed funding,0.65
1686,2016-05-09,locus,Technology,Data Analytics Platform,bangalore,"e venture partners, blume ventures, beenext, rajesh ranavat",private equity,23.82
1687,2016-05-09,toko innovations,Consumer Internet,Online Lending Platform,bangalore,"roopak saluja, vishal khare",seed funding,3.9
1688,2016-05-09,rentickle,E-commerce,Online Pharmacy,delhi,"manish kheterpal, vinay mittal, dinesh mittal, sandeep gupta",seed funding,2.16
1689,2016-05-10,healthifyme,Consumer Internet,Online Lending Platform,bangalore,"idg ventures india, inventus capital, blume ventures",private equity,51.96
1690,2016-05-10,zarget,Consumer Internet,Online Lending Platform,chennai,"accel partners, matrix partners, girish mathrubootham",private equity,12.99
1691,2016-05-10,innonano research,Technology,Data Analytics Platform,chennai,nanoholdings,private equity,155.88
1692,2016-05-10,schoolwear,E-commerce,Online Pharmacy,mumbai,undisclosed investors,seed funding,12.99
1693,2016-05-10,swiggy,Consumer Internet,Online Lending Platform,bangalore,"norwest venture partners, dst global, accel partners",private equity,60.62
1694,2016-05-11,zenify,Consumer Internet,Online Lending Platform,bangalore,undisclosed investors,private equity,7.79
1695,2016-05-11,faircent,Consumer Internet,Online Lending Platform,gurgaon,"jm financial products ltd, arun tadanki, doreswamy nandkishore, kshitij jain",private equity,
1696,2016-05-11,fractal analytics,Technology,Data Analytics Platform,mumbai,khazanah nasional berhad,private equity,866.0
1697,2016-05-12,unacademy,Consumer Internet,Online Lending Platform,bangalore,"blume ventures, rajan anandan, sumit jain, aprameya radhakrishna, sujeet kumar, phanindra sama",seed funding,4.33
1698,2016-05-12,capital float,Consumer Internet,Online Lending Platform,bangalore,"creation investments capital management, saif partners, sequoia capital, aspada ventures",private equity,216.5
1699,2016-05-12,life circle,Healthcare,A Doctor-Patient Engagement Platform,hyderabad,groupe sos,private equity,1.3
1700,2016-05-12,dream wallets,Consumer Internet,Online Lending Platform,jaipur,"rakesh gupta, aditya aggarwal, siddharth banerjee, vikas ranjan, anshul jindal, sunil koul, and sanjeev agrawal",seed funding,
1701,2016-05-12,shabdnagari,Consumer Internet,Online Lending Platform,kanpur,ah ventures,seed funding,
1702,2016-05-12,galleri5,Consumer Internet,Online Lending Platform,bangalore,"phanindra sama, raghunandan g,",seed funding,
1703,2016-05-12,derbii,Logistics,B2B Logistics Provider,gurgaon,anurag chauhan,seed funding,
1704,2016-05-13,stayzilla,Consumer Internet,Online Lending Platform,chennai,"matrix partners, ne ventures",private equity,116.91
1705,2016-05-13,wow express,Logistics,B2B Logistics Provider,mumbai,undisclosed investors & tamarind family private trust,private equity,19.05
1706,2016-05-16,smartivity,E-commerce,Online Pharmacy,delhi,"s chand, advantedge partners",private equity,8.66
1707,2016-05-16,bedbathmore,Consumer Internet,Online Lending Platform,mumbai,"kinnevik group, rocket internet",private equity,
1708,2016-05-17,murgency,Consumer Internet,Online Lending Platform,mumbai,rata tata,private equity,
1709,2016-05-17,crownit,Consumer Internet,Online Lending Platform,gurgaon,"undisclosed investors, accel partners, helion venture partners",private equity,
1710,2016-05-17,blinge,E-commerce,Online Pharmacy,mumbai,"anupam mittal, anuj srivastava, ankit nagori",seed funding,
1711,2016-05-18,thesmartq,Consumer Internet,Online Lending Platform,bangalore,yournest angel fund,seed funding,2.16
1712,2016-05-18,purplehealth,Consumer Internet,Online Lending Platform,trivandrum,katabole technology venture,seed funding,0.87
1713,2016-05-18,fundamentor,Education,Aptitude Development Program,pune,subramanya sv,seed funding,
1714,2016-05-18,edupristine,Education,Aptitude Development Program,mumbai,"kaizen management advisors, devry inc",private equity,86.6
1715,2016-05-18,bhiveworkspace,Reality,Co-Working Spaces,bangalore,blume ventures,private equity,8.66
1716,2016-05-18,parentlane,Consumer Internet,Online Lending Platform,bangalore,"sujeet kumar, aprameya, sumit jain, subramanya venkat, venk, ravi machani, hitesh gupta, rohit choudhary",seed funding,
1717,2016-05-19,appie,Consumer Internet,Online Lending Platform,mumbai,undisclosed investors,seed funding,8.66
1718,2016-05-19,niki.ai,Technology,Data Analytics Platform,bangalore,ratan tata,private equity,
1719,2016-05-19,taxivaxi,Consumer Internet,Online Lending Platform,delhi,undisclosed hnis,seed funding,4.33
1720,2016-05-19,veqta,Consumer Internet,Online Lending Platform,delhi,"chatsworth management, itw digital",seed funding,4.33
1721,2016-05-20,i2ifunding,Consumer Internet,Online Lending Platform,noida,undisclosed investors,seed funding,2.6
1722,2016-05-23,edurev,Consumer Internet,Online Lending Platform,gurgaon,pradeep reddy kamasan,seed funding,
1723,2016-05-23,hoppingo,Consumer Internet,Online Lending Platform,delhi,vcommission,seed funding,0.77
1724,2016-05-24,eatonomist,Consumer Internet,Online Lending Platform,gurgaon,mcube capital advisors pvt ltd,seed funding,
1725,2016-05-24,goalwise,Consumer Internet,Online Lending Platform,bangalore,undisclosed hnis,seed funding,8.66
1726,2016-05-25,roast,Consumer Internet,Online Lending Platform,delhi,indian angel network,seed funding,
1727,2016-05-25,address health,Healthcare,A Doctor-Patient Engagement Platform,bangalore,gray matters capital,private equity,12.99
1728,2016-05-25,arcatron mobility,Technology,Data Analytics Platform,pune,sudhir mehta,seed funding,0.87
1729,2016-05-25,shethepeople,Consumer Internet,Online Lending Platform,delhi,anand mahindra,seed funding,
1730,2016-05-26,cleartax,Consumer Internet,Online Lending Platform,bangalore,"ff angel, sequoia capital",private equity,17.32
1731,2016-05-26,consure medical,Healthcare,A Doctor-Patient Engagement Platform,delhi,"accel partners, indian angel network, india innovation fund india venture partners",private equity,
1732,2016-05-26,mchamp,Consumer Internet,Online Lending Platform,delhi,momagic technologies,seed funding,4.11
1733,2016-05-27,pianta,Consumer Internet,Online Lending Platform,bangalore,"kunal shah, sandeep tandon",seed funding,
1734,2016-05-30,vahanalytics,Technology,Data Analytics Platform,mumbai,"anirudh damani, vikram lakhotia",seed funding,1.73
1735,2016-05-31,play your sport,Consumer Internet,Online Lending Platform,delhi,ashish gupta and other undisclosed investors,seed funding,
1736,2016-05-31,koovs,E-commerce,Online Pharmacy,delhi,ht media ltd,private equity,38.1
1737,2016-05-31,ccavenue,Consumer Internet,Online Lending Platform,mumbai,nsi infinium global pvt. ltd,private equity,77.07
1738,2016-05-31,1mg,E-commerce,Online Pharmacy,gurgaon,hbm healthcare investments,private equity,
1739,2016-05-31,tpot,Food & Beverage,Qsr Chain,gurgaon,ashish gupta,seed funding,
1740,2016-05-31,machadalo,Consumer Internet,Online Lending Platform,mumbai,undisclosed investors,seed funding,1.52
1741,2016-04-01,dil mil,Consumer Internet,Online Lending Platform,out of india,"nelstone ventures, transmedia capital, maiden lane ventures, csc upshot & angel investors",private equity,23.38
1742,2016-04-01,picsdream,Consumer Internet,Online Lending Platform,delhi,raman roy,seed funding,
1743,2016-04-01,process 9,Consumer Internet,Online Lending Platform,gurgaon,"indian angel network, alok sharma, kris gopalakrishnan, saurabh srivastava, and ajai chowdhry",seed funding,
1744,2016-04-04,housing,Consumer Internet,Online Lending Platform,mumbai,vineet singh,private equity,
1745,2016-04-04,roll mafia,Food & Beverage,Qsr Chain,pune,equentia natural resource & other undisclosed investors,seed funding,
1746,2016-04-04,hungama,Consumer Internet,Online Lending Platform,mumbai, inc,private equity,216.5
1747,2016-04-04,highway delite,Consumer Internet,Online Lending Platform,bangalore,n.s. raghavan centre for entrepreneurial learning,seed funding,
1748,2016-04-05,cult fitness,Healthcare,A Doctor-Patient Engagement Platform,bangalore,mukesh bansal,seed funding,
1749,2016-04-05,haptik,Technology,Data Analytics Platform,mumbai,times internet ltd,private equity,
1750,2016-04-05,servify,Consumer Internet,Online Lending Platform,mumbai,"blume ventures, barkawi holdings gmbh, tm service technology holdings gmbh",private equity,
1751,2016-04-06,shipsy,Logistics,B2B Logistics Provider,gurgaon,dtdc e ltd,private equity,8.66
1752,2016-04-06,gear6,Consumer Internet,Online Lending Platform,bangalore,ninestarter,seed funding,4.33
1753,2016-04-06,myglamm,Consumer Internet,Online Lending Platform,mumbai,l,private equity,51.96
1754,2016-04-06,petoo,Consumer Internet,Online Lending Platform,bangalore,a ventures,private equity,8.66
1755,2016-04-07,truly social,Consumer Internet,Online Lending Platform,out of india,nazara technologies pvt ltd,private equity,
1756,2016-04-08,little black book,Consumer Internet,Online Lending Platform,delhi,"idg, indian angel network",seed funding,
1757,2016-04-08,vahan,Education,Aptitude Development Program,chennai,villgro,seed funding,
1758,2016-04-08,imedilane,Consumer Internet,Online Lending Platform,delhi,"mahendra patel, nilender chauhan",seed funding,0.35
1759,2016-04-11,living local,Consumer Internet,Online Lending Platform,mumbai,rattan chadha,seed funding,1.73
1760,2016-04-11,vegfru,E-commerce,Online Pharmacy,delhi,wingify,seed funding,
1761,2016-04-11,oyo,Consumer Internet,Online Lending Platform,delhi,"softbank, sequoia capital, lightspeed venture partners, greenoaks capital, dsg consumer partners and venture nursery",private equity,866.0
1762,2016-04-11,priceraja,Consumer Internet,Online Lending Platform,gurgaon,prashant puri,seed funding,2.6
1763,2016-04-12,magicx,Consumer Internet,Online Lending Platform,bangalore,"kris gopalakrishnan, dr. ranjan pai",seed funding,8.66
1764,2016-04-12,happydemic,Consumer Internet,Online Lending Platform,mumbai,shaan,seed funding,
1765,2016-04-12,lendenclub,Finance,Online Lending Platform,mumbai,"anirudh damani, daud ali, narendra karnavat, vikas kapoor, vikram lakhotia, krishna jhunjhunwaala, jayesh shah",seed funding,
1766,2016-04-12,indi,Consumer Internet,Online Lending Platform,undisclosed,anil kapoor,seed funding,
1767,2016-04-13,legalraasta,Consumer Internet,Online Lending Platform,delhi,"pravin khandelwal, yatin kumar jain",seed funding,8.66
1768,2016-04-13,raincan,Consumer Internet,Online Lending Platform,pune,dr. aniruddha malpani,seed funding,1.3
1769,2016-04-13,hippily,E-commerce,Online Pharmacy,mumbai,"dr. sridhar ramaswamy, rakesh mathur",seed funding,2.16
1770,2016-04-13,kredx,E-commerce,Online Pharmacy,bangalore,"prime venture partners,",seed funding,6.49
1771,2016-04-14,wedwise,Consumer Internet,Online Lending Platform,delhi,startup equity partners,seed funding,
1772,2016-04-14,beaconstalk,Technology,Data Analytics Platform,mumbai,"rajeev agrawal, prashant gooty",seed funding,0.87
1773,2016-04-15,deal 4loans,Consumer Internet,Online Lending Platform,noida,"ram shriram, neeraj arora, puru vashishtha",seed funding,
1774,2016-04-15,renewbuy,Consumer Internet,Online Lending Platform,delhi,mount nathan advisors,seed funding,8.66
1775,2016-04-15,blue box media,Consumer Internet,Online Lending Platform,jaipur,"mahavir pratap sharma, ajay data, yogesh chaudhary, sanjay phophaliya, siddharth agarwal, kamal kothari",seed funding,
1776,2016-04-15,vyomo,Consumer Internet,Online Lending Platform,delhi,naturals salon chain,private equity,129.9
1777,2016-04-15,organicshop,E-commerce,Online Pharmacy,jaipur,"vivek nathani, yogesh chaudhary, mahavir pratap sharma, kamal kothari, h c jain",seed funding,
1778,2016-04-15,mind your fleet,Consumer Internet,Online Lending Platform,noida,undisclosed investors,seed funding,
1779,2016-04-15,nestaway,Consumer Internet,Online Lending Platform,bangalore,tiger global,private equity,259.8
1780,2016-04-15,tapchief,Consumer Internet,Online Lending Platform,bangalore,vijay shekhar sharma,seed funding,1.3
1781,2016-04-18,rapido,Consumer Internet,Online Lending Platform,bangalore,"pawan munjal, advantedge partners, astarc ventures",private equity,
1782,2016-04-18,yufta,E-commerce,Online Pharmacy,bangalore,ajay data & other hnis,seed funding,
1783,2016-04-18,smytten,E-commerce,Online Pharmacy,gurgaon,rajan anandan,seed funding,
1784,2016-04-18,houssup,Consumer Internet,Online Lending Platform,jaipur,"mitin patel, gaurav agarwal",seed funding,
1785,2016-04-18,jugnoo,Consumer Internet,Online Lending Platform,chandigarh,paytm & e investors,private equity,86.6
1786,2016-04-18,tork motocycles,Auto,Automotive Design And Engineering Company,pune,"bhavish aggarwal, ankit bhati",seed funding,
1787,2016-04-19,betaout,E-commerce,Online Pharmacy,noida,"stanford angels, letsventure, chennai angels, hyderabad angels, mumbai angels",private equity,12.99
1788,2016-04-19,driverscart,Consumer Internet,Online Lending Platform,chennai,ah ventures,seed funding,3.9
1789,2016-04-19,lenskart,E-commerce,Online Pharmacy,delhi,ratan tata,private equity,
1790,2016-04-19,collegedekho,Consumer Internet,Online Lending Platform,delhi,man capital,private equity,17.32
1791,2016-04-19,oyofit,Consumer Internet,Online Lending Platform,bangalore,rn agarwal,seed funding,
1792,2016-04-19,oliveboard,Consumer Internet,Online Lending Platform,bangalore,india educational investment fund,private equity,
1793,2016-04-19,simplilearn,Consumer Internet,Online Lending Platform,bangalore,brand capital,private equity,
1794,2016-04-20,1mg,E-commerce,Online Pharmacy,gurgaon,"maverick capital ventures, sequoia capital, omidyar network",private equity,129.9
1795,2016-04-20,fashalot,Consumer Internet,Online Lending Platform,delhi,"yournest angel fund, rajul garg",seed funding,
1796,2016-04-20,broomberg,Consumer Internet,Online Lending Platform,delhi,undisclosed angel investors & hnis,seed funding,
1797,2016-04-21,m.paani,Consumer Internet,Online Lending Platform,mumbai,"blume ventures, adil allana, aprameya radhakrishna, gautam ivatury, signal point partners",seed funding,
1798,2016-04-21,yufta,E-commerce,Online Pharmacy,jaipur,ajay data & undisclosed hnis,seed funding,
1799,2016-04-21,mishtag,Consumer Internet,Online Lending Platform,delhi,"m&y partners, svg media, anthil ventures & others",seed funding,
1800,2016-04-21,advanced structures india,Auto,Automotive Design And Engineering Company,bangalore,girnarsoft,private equity,
1801,2016-04-22,licious,E-commerce,Online Pharmacy,bangalore,mayfield india ii management ltd,private equity,25.98
1802,2016-04-22,knolskae,Consumer Internet,Online Lending Platform,bangalore,"inventus capital partners, hr fund",private equity,
1803,2016-04-22,druva,Technology,Data Analytics Platform,pune,"ntt finance, telephone corporation",private equity,
1804,2016-04-22,toko innovation studios,Consumer Internet,Online Lending Platform,delhi,indian angel network,seed funding,3.9
1805,2016-04-25,commut,Consumer Internet,Online Lending Platform,hyderabad,50k ventures,seed funding,1.73
1806,2016-04-25,intouchapp,Consumer Internet,Online Lending Platform,pune,blume ventures,seed funding,
1807,2016-04-25,dropkaffe,Food & Beverage,Qsr Chain,bangalore,"growthstory, apurva salapuria, hitesh oberoi, sidharth pansari, nirupa shankar",seed funding,4.76
1808,2016-04-26,transerv,Consumer Internet,Online Lending Platform,mumbai,"idfc spice fund, micromax informatics",private equity,129.9
1809,2016-04-26,cleartax,Consumer Internet,Online Lending Platform,bangalore,"max levchin, scott banister",private equity,11.26
1810,2016-04-26,roposo,E-commerce,Online Pharmacy,gurgaon,bertelsmann india investments,private equity,129.9
1811,2016-04-27,milkbasket,Consumer Internet,Online Lending Platform,gurgaon,evc ventures,seed funding,4.33
1812,2016-04-27,careongo,Consumer Internet,Online Lending Platform,undisclosed,"farooq oomerbhoy, anupam mittal, anand mittal, ravi garikipati, vibhu garg, singapore angel network, konglo ventures",seed funding,
1813,2016-04-27,railyatri,Consumer Internet,Online Lending Platform,noida,"nandan nilekani, helion ventures, omidyar networks, blume ventures",private equity,
1814,2016-04-27,ichr,Consumer Internet,Online Lending Platform,delhi,undisclosed,seed funding,3.9
1815,2016-04-27,murgency,Consumer Internet,Online Lending Platform,mumbai,a ventures,private equity,
1816,2016-04-28,the wedding brigade,Consumer Internet,Online Lending Platform,mumbai,blume ventures & other unnamed investors,seed funding,5.2
1817,2016-04-28,docsapp,Consumer Internet,Online Lending Platform,bangalore,"rebright partners, anand rajaraman, venky harinarayan",private equity,10.39
1818,2016-04-29,impact guru,Consumer Internet,Online Lending Platform,mumbai,"rb investments, fundnel",seed funding,4.33
1819,2016-04-29,letreach,E-commerce,Online Pharmacy,delhi,vcommission,private equity,0.87
1820,2016-03-01,driveu,Consumer Internet,Online Lending Platform,bangalore,unitus seed fund,seed funding,
1821,2016-03-01,gympik,Consumer Internet,Online Lending Platform,bangalore,roundglass partners,private equity,
1822,2016-03-01,testbook,Consumer Internet,Online Lending Platform,mumbai,s chand & co,private equity,
1823,2016-03-01,iqlect,Technology,Data Analytics Platform,bangalore,"lip-bu tan, michael marks, nicolas braithwaite",private equity,
1824,2016-03-02,momark,Consumer Internet,Online Lending Platform,noida,yournest angel fund,private equity,5.2
1825,2016-03-02,skedool,Consumer Internet,Online Lending Platform,undisclosed,"kludein llcnphanindra sama, narayan ramachandran, pranav pai",seed funding,
1826,2016-03-02,systemantics,Technology,Data Analytics Platform,bangalore,"nandan nilekani, accel partners",private equity,12.12
1827,2016-03-03,vertuals,Technology,Data Analytics Platform,mumbai,dino morea,seed funding,
1828,2016-03-03,imarticus learning,Education,Aptitude Development Program,mumbai,"blinc advisors, amit nanavati, tashwinder singh, taranjit jaswal, amit khanna",private equity,8.66
1829,2016-03-03,shouut,Consumer Internet,Online Lending Platform,delhi,undisclosed investor,seed funding,4.33
1830,2016-03-04,tinystep,Consumer Internet,Online Lending Platform,bangalore,matt glickman,private equity,
1831,2016-03-04,aahaa,E-commerce,Online Pharmacy,chennai,"yournest angel fund,",private equity,8.66
1832,2016-03-04,arcatron mobility,Technology,Data Analytics Platform,pune,"sudhir mehta, anoop hingorani",seed funding,
1833,2016-03-04,ftcash,Consumer Internet,Online Lending Platform,kolkata,ivycap ventures,seed funding,1.3
1834,2016-03-04,civilsdaily,Consumer Internet,Online Lending Platform,delhi,manoj kumar & other undisclosed investors,seed funding,
1835,2016-03-04,zappka,Consumer Internet,Online Lending Platform,gurgaon,"daman soni, rajat gupta & others",seed funding,0.87
1836,2016-03-04,tarusa world,E-commerce,Online Pharmacy,mumbai,mohit gulati,seed funding,
1837,2016-03-04,medecube,Healthcare,A Doctor-Patient Engagement Platform,gurgaon,artiman ventures,private equity,34.64
1838,2016-03-07,n.o.w,Consumer Internet,Online Lending Platform,noida,"ruchirans jaipuria, anuj sanghi",seed funding,4.33
1839,2016-03-07,ninjacart,E-commerce,Online Pharmacy,bangalore,"accel partners, qualcomm ventures, m&s partners, zop smart",private equity,25.98
1840,2016-03-07,reach,Consumer Internet,Online Lending Platform,bangalore,"rebright partners, sol primero, sudhir anandarao, ankur warikoo, ankur singla",seed funding,4.33
1841,2016-03-07,vanity cube,Consumer Internet,Online Lending Platform,delhi,unicorn ventures,seed funding,2.16
1842,2016-03-07,wooplr,E-commerce,Online Pharmacy,bangalore,"naveen tewari, abhay singhal, amit gupta, piyush shah, raghunandan g, rajiv mehta",seed funding,
1843,2016-03-07,medidaili,Consumer Internet,Online Lending Platform,bangalore,undisclosed private investors,seed funding,0.87
1844,2016-03-08,finomena,Technology,Data Analytics Platform,delhi,matrix partners india,private equity,
1845,2016-03-08,cookaroo,Consumer Internet,Online Lending Platform,bangalore,vijay krishna yadav,seed funding,
1846,2016-03-08,vphrase analytics,Technology,Data Analytics Platform,mumbai,"apoorv ranjan sharma, daud ali and others",seed funding,
1847,2016-03-08,lovecycles,Consumer Internet,Online Lending Platform,bangalore,prime venture partners,seed funding,6.49
1848,2016-03-08,kartrocket,E-commerce,Online Pharmacy,delhi,"undisclosed japanese investor, bertelsmann india investments, nirvana digital india fund, nirvana digital investment holding co ltd, 500 start-ups",private equity,69.28
1849,2016-03-08,dunzo,Consumer Internet,Online Lending Platform,bangalore,"aspada investment advisors, blume ventures.",seed funding,5.63
1850,2016-03-09,indiamart,E-commerce,Online Pharmacy,noida,amadeus capital,private equity,
1851,2016-03-09,smartvizx,Technology,Data Analytics Platform,noida,"indian angel network, stanford angels, entrepreneurs india",seed funding,4.33
1852,2016-03-09,mygubbi,Real Estate,Branded Workspaces Aggregator,bangalore,"vipul parekh, ajesh k murthy,",seed funding,21.65
1853,2016-03-09,nukkad shops,Consumer Internet,Online Lending Platform,hyderabad,purpletalk inc,seed funding,8.66
1854,2016-03-09,cloudacar,Consumer Internet,Online Lending Platform,pune,"amit choudhary, anuj puri",seed funding,
1855,2016-03-09,justride,Consumer Internet,Online Lending Platform,mumbai,dheeraj jain & other angel investors,seed funding,3.46
1856,2016-03-09,yana,Consumer Internet,Online Lending Platform,gurgaon,"puneet gupta,",seed funding,
1857,2016-03-10,big fish ventures,Food & Beverage,Qsr Chain,delhi,undisclosed investors,private equity,96.13
1858,2016-03-10,stylflip,E-commerce,Online Pharmacy,mumbai,"raj gala shah, zaheer memon",seed funding,
1859,2016-03-10,icertis,Technology,Data Analytics Platform,pune,"ignition partners, greycroft partners, fidelity growth partners india",private equity,129.9
1860,2016-03-10,supplified,E-commerce,Online Pharmacy,delhi,mohit goel,seed funding,8.66
1861,2016-03-11,jollyfoodfellow,Technology,Data Analytics Platform,ahmedabad,janak parikh,seed funding,
1862,2016-03-14,pinkblue,E-commerce,Online Pharmacy,bangalore,"hari krishna, ajay modani, dr v ravinder, anirudh rastogi, abhishek jain, rakesh gakhar, rajeev mudumba, nagendra prasad bhanuprakash",seed funding,1.94
1863,2016-03-14,truckingcube,Logistics,B2B Logistics Provider,delhi,agarwal movers group,private equity,129.03
1864,2016-03-14,eswasthya,Consumer Internet,Online Lending Platform,ahmedabad,hemang sahani,seed funding,
1865,2016-03-15,flipclass,Consumer Internet,Online Lending Platform,bangalore,"s chand and co pvt ltd, blume ventures",private equity,8.66
1866,2016-03-15,proximit,Technology,Data Analytics Platform,pune,funding through 1crowd platform,seed funding,1.3
1867,2016-03-15,withme,Consumer Internet,Online Lending Platform,gurgaon,"alex kuruvilla, pradeep guha, saket dhankar, rajan pandhare",seed funding,2.16
1868,2016-03-16,gapoon,Consumer Internet,Online Lending Platform,bangalore,"chandrashekar tallapragada, pankaj kapoor",seed funding,1.56
1869,2016-03-16,avagmah,Consumer Internet,Online Lending Platform,bangalore,"kris gopalakrishnan, atul nishar",seed funding,
1870,2016-03-16,workindia,Consumer Internet,Online Lending Platform,mumbai,beenext,seed funding,
1871,2016-03-16,wealthy,Consumer Internet,Online Lending Platform,bangalore,"zishaan hayath, abhishek goyal, arjun and rohan malhotra, harpreet singh grover, gagan dugal",seed funding,2.16
1872,2016-03-17,pramati,Healthcare,A Doctor-Patient Engagement Platform,noida,undisclosed investors,seed funding,1.73
1873,2016-03-17,qlivery,Consumer Internet,Online Lending Platform,gurgaon,swastika company ltd,seed funding,1.99
1874,2016-03-17,healthenablr,Consumer Internet,Online Lending Platform,mumbai,undisclosed investors,seed funding,6.93
1875,2016-03-17,liftiee,Consumer Internet,Online Lending Platform,mumbai,"rannvijay singh, anita hassanandani",seed funding,0.94
1876,2016-03-18,hello curry,Food & Beverage,Qsr Chain,hyderabad,sashi reddi & other unnamed investors,private equity,12.99
1877,2016-03-19,gosporto,Consumer Internet,Online Lending Platform,delhi,naveen gupta,seed funding,0.26
1878,2016-03-21,oneclickwash,Consumer Internet,Online Lending Platform,gurgaon,unitus seed fund,seed funding,
1879,2016-03-21,girnar software,Consumer Internet,Online Lending Platform,jaipur,google capital,private equity,
1880,2016-03-21,room on call,Consumer Internet,Online Lending Platform,gurgaon,cashurdrive marketing pvt ltd,private equity,17.32
1881,2016-03-22,byju's,Consumer Internet,Online Lending Platform,bangalore,"sequoia india, sofina",private equity,649.5
1882,2016-03-22,bigbasket,E-commerce,Online Pharmacy,bangalore,abraaj group,private equity,1299.0
1883,2016-03-22,drivojoy,Consumer Internet,Online Lending Platform,bangalore,"indian angel network, tracxn labs & others",seed funding,5.2
1884,2016-03-22,smartron,Technology,Data Analytics Platform,bangalore,sachin tendulkar,private equity,
1885,2016-03-22,lifcare,Consumer Internet,Online Lending Platform,jaipur,"rajul garg, alok mittal, kunal shah, rishi mandawat, dheeraj jain, sandeep tandon, de angel circle",seed funding,
1886,2016-03-22,creditseva,Consumer Internet,Online Lending Platform,hyderabad,"pix vine capital, infocomm development authority of singapore",seed funding,3.12
1887,2016-03-22,cityshor,Consumer Internet,Online Lending Platform,ahmedabad,gain,seed funding,
1888,2016-03-23,endless robotics,Technology,Data Analytics Platform,hyderabad,"devidas desai, vipul gautam, singapore angel network",seed funding,0.87
1889,2016-03-23,sp robotics,Technology,Data Analytics Platform,chennai,"indian angel network,",seed funding,2.6
1890,2016-03-23,stalkbuylove,E-commerce,Online Pharmacy,delhi,"500 startups, littlerock, singularity ventures",seed funding,
1891,2016-03-23,ekincare,Consumer Internet,Online Lending Platform,hyderabad,"bitchemy ventures, maheshwari investments pvt ltd, anshoo gaur, rama krishna reddy, sandeep seerapu",private equity,2.86
1892,2016-03-23,hashlearn,Consumer Internet,Online Lending Platform,undisclosed,"bhavish aggarwal, binny bansal, rajan anandan, mekin maheshwar, sunil kalra, anupam mittal, krishna mehra, singapore angel network",seed funding,
1893,2016-03-23,wheelstreet,Consumer Internet,Online Lending Platform,bangalore,broadbean capital services,private equity,4.33
1894,2016-03-24,horntell,Consumer Internet,Online Lending Platform,gurgaon,"bharanidharan viswanathan, sanjiv mittal, shobhit shukla, rahul agarwal",seed funding,1.3
1895,2016-03-28,schoolkart,E-commerce,Online Pharmacy,noida,undisclosed investors,seed funding,2.6
1896,2016-03-29,healtheminds,Consumer Internet,Online Lending Platform,bangalore,robin utthappa,seed funding,
1897,2016-03-29,babygogo,Consumer Internet,Online Lending Platform,delhi,"rajul garg, daljit singh, aditya vij, kishore kumar, shuchin bajaj",seed funding,2.6
1898,2016-03-29,veritas finance,Finance,Online Lending Platform,chennai,sarva capital,private equity,40.7
1899,2016-03-29,qikship,Consumer Internet,Online Lending Platform,delhi,undisclosed investors,seed funding,1.73
1900,2016-03-29,fixnix,Consumer Internet,Online Lending Platform,chennai,jay vijayan,seed funding,4.33
1901,2016-03-30,true balance,Technology,Data Analytics Platform,gurgaon,softbank ventures korea,private equity,
1902,2016-03-30,touchkin,Healthcare,A Doctor-Patient Engagement Platform,bangalore,"alok mittal, amit gupta, anuj srivastava, himanshu aggarwal, raghunandan g, puneet agarwal",seed funding,3.46
1903,2016-03-31,switchme,Consumer Internet,Online Lending Platform,mumbai,"mohandas pai, hiro mashita, singapore angel network, 500 startups, rajan anandan, ajay sarupria",seed funding,
1904,2016-03-31,transcell,Healthcare,A Doctor-Patient Engagement Platform,hyderabad,indian angel network,seed funding,
1905,2016-02-01,blue tokai coffee,E-commerce,Online Pharmacy,delhi,snow leopard technology ventures,seed funding,
1906,2016-02-02,altizone,Technology,Data Analytics Platform,pune,"wipro ventures, lumis partners",private equity,34.64
1907,2016-02-02,oust app,Consumer Internet,Online Lending Platform,bangalore,"t v mohandas pai, aarin capital",seed funding,
1908,2016-02-02,strike,Consumer Internet,Online Lending Platform,bangalore,multiple investors through ten minute million competition,seed funding,0.19
