Sr No,Date,Startup,Vertical,SubVertical,City,Investors,Investment Round,Amount in INR(cr)
1112,2017-01-30,maptags,Consumer Internet,Online Lending Platform,bangalore,the ten minute million,seed funding,0.16
1113,2017-01-30,yolo health,Consumer Internet,Online Lending Platform,mumbai,chandigarh angels network (can),seed funding,
1114,2017-01-31,heads up for tails,E-commerce,Online Pharmacy,delhi,undisclosed investors,private equity,17.32
1115,2017-01-31,register my marriage,Consumer Internet,Online Lending Platform,delhi,mumbai angels,seed funding,
1116,2016-12-01,sidqam,Technology,Data Analytics Platform,noida,"sque capital, grace capital ventures, soham vencaps",private equity,10.39
1117,2016-12-01,india lends,Consumer Internet,Online Lending Platform,delhi,"dsg consumer partners, american e ventures, cyber carrier vc, advantedge partners",private equity,34.64
1118,2016-12-01,slide app,Consumer Internet,Online Lending Platform,delhi,songhyun investment,private equity,31.18
1119,2016-12-02,badiyajobs,Consumer Internet,Online Lending Platform,delhi,undisclosed,seed funding,0.87
1120,2016-12-02,streo,Consumer Internet,Online Lending Platform,bangalore,"gems advisory, quarizon",seed funding,
1121,2016-12-02,tygr,Technology,Data Analytics Platform,mumbai,franchise india,private equity,25.98
1122,2016-12-05,mr hot foods,Consumer Internet,Online Lending Platform,indore,ivycamp ventures,seed funding,
1123,2016-12-05,urdoorstep,E-commerce,Online Pharmacy,bangalore,lakshmi vilas bank & undisclosed hnis,private equity,12.12
1124,2016-12-05,onn bikes,E-commerce,Online Pharmacy,mumbai,grace capital ventures,seed funding,
1125,2016-12-06,diro labs,Consumer Internet,Online Lending Platform,delhi,info edge (india),seed funding,1.27
1126,2016-12-06,thb,Technology,Data Analytics Platform,gurgaon,"ajith sukumaran, currae healthtech fund",seed funding,
1127,2016-12-07,lookatme,Consumer Internet,Online Lending Platform,out of india,eros labs,seed funding,
1128,2016-12-07,netree,E-commerce,Online Pharmacy,delhi,"the chennai angels, letsventure",seed funding,
1129,2016-12-07,bookeventz,Consumer Internet,Online Lending Platform,mumbai,investors from mumbai angels & letsventure,seed funding,
1130,2016-12-07,tailslife,Consumer Internet,Online Lending Platform,bangalore,"mohan kumar, v. balakrishnan",seed funding,
1131,2016-12-07,revv,Consumer Internet,Online Lending Platform,delhi,edelweiss private equity,private equity,77.94
1132,2016-12-07,wealthapp,Consumer Internet,Online Lending Platform,bangalore,"venk krishnan, mj aravind, vikram kotak, jayant davar, ramkumar nishtal, arjun sharmaa",seed funding,3.81
1133,2016-12-07,vehico,Technology,Data Analytics Platform,bangalore,"calcutta angel network, appliyifi",seed funding,
1134,2016-12-08,zest money,Consumer Internet,Online Lending Platform,mumbai,payu,private equity,56.29
1135,2016-12-08,gomechanic,Consumer Internet,Online Lending Platform,gurgaon,venture catalysts,seed funding,2.16
1136,2016-12-09,stalk buy love,E-commerce,Online Pharmacy,delhi,kalaari capital,private equity,51.96
1137,2016-12-09,nykaa,E-commerce,Online Pharmacy,mumbai,max ventures and industries,private equity,
1138,2016-12-09,wittyparot,Technology,Data Analytics Platform,bangalore,mumbai angels,seed funding,3.9
1139,2016-12-09,neuroequilibrium,Technology,Data Analytics Platform,jaipur,unicorn india ventures,seed funding,2.16
1140,2016-12-12,xseed education,Technology,Data Analytics Platform,bangalore,verlinvest sa,private equity,86.6
1141,2016-12-12,rupaiya exchange,Consumer Internet,Online Lending Platform,delhi,undisclosed investors,seed funding,1.73
1142,2016-12-12,doctor insta,Consumer Internet,Online Lending Platform,gurgaon,roundglass partners,private equity,17.32
1143,2016-12-12,urbanpiper,Consumer Internet,Online Lending Platform,bangalore,"a, undisclosed investors",seed funding,
1144,2016-12-12,fresh food concepts,Food & Beverage,Qsr Chain,delhi,"siddhartha gupta, ashvin chadha",seed funding,17.32
1145,2016-12-13,indifi,Consumer Internet,Online Lending Platform,gurgaon,omidyar network,private equity,86.6
1146,2016-12-13,gocomet,Logistics,B2B Logistics Provider,mumbai,"india quotient, rajul garg, rajesh yabaji, chanakya hridaya, ramasubramaniam b, vishwanathan, nobel house, sunstone capital",seed funding,
1147,2016-12-13,ofbusiness,E-commerce,Online Pharmacy,gurgaon,"zodius technology opportunities fund, matrix partners",private equity,96.13
1148,2016-12-14,fitmein,Consumer Internet,Online Lending Platform,delhi,"finc, ghv",seed funding,
1149,2016-12-14,qacco,Consumer Internet,Online Lending Platform,gurgaon,"lead angels network, anbu pandian, prabhakar mr & others",seed funding,1.3
1150,2016-12-14,fitpass,Consumer Internet,Online Lending Platform,delhi,mumbai angels,seed funding,8.66
1151,2016-12-14,moengage,Technology,Data Analytics Platform,bangalore,anand chandrasekaran,seed funding,
1152,2016-12-14,ten3t health,Technology,Data Analytics Platform,bangalore,"v. krishna prasad, bhupen shah & others",seed funding,
1153,2016-12-14,trading bells,Consumer Internet,Online Lending Platform,indore,swastika investmart ltd,seed funding,2.57
1154,2016-12-15,serv'd,Consumer Internet,Online Lending Platform,pune,digital financial service lab,seed funding,0.87
1155,2016-12-15,ideaforge,Technology,Data Analytics Platform,mumbai,"wrv capital and indusage partners, infosys innovation fund",private equity,86.6
1156,2016-12-15,amagi media labs,Technology,Data Analytics Platform,mumbai,"emerald media, premji invest",private equity,303.1
1157,2016-12-15,pocket aces,Technology,Data Analytics Platform,mumbai,"sequoia capital india, north base media, aarin capital, 3one4 capital, a ventures, kunal shah, sandeep tandon",private equity,25.98
1158,2016-12-16,pi data centers,Technology,Data Analytics Platform,hyderabad,epsilon venture partners,private equity,199.18
